Id,year,brand,price,distance_travelled(kms),fuel_type,new_and_less_used
0,2016,Honda,425000,9680,Petrol,0
1,2012,Nissan,325000,119120,Diesel,0
2,2017,Toyota,2650000,64593,Diesel,0
3,2017,Mercedes-Benz,4195000,25000,Diesel,1
4,2012,Hyundai,475000,23800,Diesel,0
5,2012,Hyundai,335000,45000,Petrol,0
6,2019,Toyota,750000,19500,Petrol,1
7,2018,Mercedes-Benz,5500000,32000,Diesel,0
8,2017,Hyundai,565000,44329,Petrol,0
9,2015,Maruti Suzuki,510000,48286,Petrol,0
10,2015,Hyundai,465000,24935,Petrol,0
11,2016,Toyota,1485000,59758,Diesel,0
12,2017,Maruti Suzuki,610000,40119,Petrol,0
13,2016,Renault,365000,22625,Petrol,0
14,2017,Maruti Suzuki,699000,16540,Petrol,1
15,2016,Hyundai,595000,41280,Petrol,0
16,2016,Toyota,1035000,97679,Petrol,0
17,2015,Maruti Suzuki,575000,43000,Diesel,0
18,2015,Volkswagen,480000,14846,Petrol,0
19,2017,Honda,749000,28771,Petrol,1
20,2018,Honda,749000,33443,Petrol,0
21,2010,Maruti Suzuki,265000,24000,Petrol,0
22,2013,Hyundai,340000,44380,Petrol,0
23,2016,Skoda,675000,58000,Diesel,0
24,2016,Honda,685000,69380,Diesel,0
25,2016,Maruti Suzuki,445000,39500,Petrol,0
26,2012,BMW,925000,74460,Diesel,0
27,2017,Mercedes-Benz,4550000,42442,Diesel,0
28,2014,Volkswagen,485000,65327,Petrol,0
29,2016,Honda,635000,19768,Petrol,0
30,2016,Tata,215000,2814,Petrol,0
31,2015,Hyundai,445000,20100,Petrol,0
32,2015,Mercedes-Benz,1950000,52717,Diesel,0
33,2015,Hyundai,445000,20100,Petrol,0
34,2012,Maruti Suzuki,275000,46646,Petrol,0
35,2014,Audi,1875000,49000,Diesel,0
36,2018,Mercedes-Benz,5500000,32000,Diesel,0
37,2020,BMW,3500000,5550,Petrol,1
38,2010,BMW,2900000,48000,Petrol,0
39,2016,Audi,1525000,31000,Diesel,0
40,2012,Audi,975000,61000,Petrol,0
41,2014,BMW,2350000,65000,Diesel,0
42,2010,Bentley,7600000,49000,Petrol,0
43,2014,Audi,1470000,78000,Diesel,0
44,2010,Audi,1550000,82000,Diesel,0
45,2017,Mercedes-Benz,2350000,24000,Petrol,1
46,2013,Mercedes-Benz,3850000,6000,Petrol,0
47,2016,Mercedes-Benz,2000000,33000,Petrol,0
48,2014,Audi,2250000,107000,Diesel,0
49,2015,BMW,2125000,71000,Diesel,0
50,2015,Mercedes-Benz,1900000,94000,Diesel,0
51,2012,Mercedes-Benz,1250000,55000,Petrol,0
52,2013,Audi,1150000,79000,Diesel,0
53,2014,Audi,1550000,71000,Diesel,0
54,2012,Mercedes-Benz,1125000,65000,Petrol,0
55,2018,Mercedes-Benz,4250000,34000,Petrol,0
56,2013,Audi,2175000,80000,Diesel,0
57,2010,Mercedes-Benz,975000,67000,Petrol,0
58,2009,BMW,1850000,27000,Petrol,0
59,2014,Audi,1650000,76000,Diesel,0
60,2018,Ford,2900000,11100,Diesel,1
61,2006,Maruti Suzuki,175000,79915,Petrol,0
62,2013,Maruti Suzuki,449000,67664,Diesel,0
63,2016,Mahindra,1275000,72000,Diesel,0
64,2018,BMW,2500000,33500,Diesel,0
65,2016,BMW,4850000,26700,Petrol,0
66,2017,Jaguar,3700000,45700,Diesel,0
67,2018,Jaguar,3500000,23500,Diesel,1
68,2012,Lamborghini,12500000,14500,Petrol,0
69,2020,MINI,3850000,6517,Petrol,1
70,2014,Mercedes-Benz,2700000,22000,Petrol,0
71,2017,Mercedes-Benz,2900000,44000,Diesel,0
72,2018,Audi,3750000,22000,Diesel,1
73,2015,BMW,3700000,66000,Diesel,0
74,2015,BMW,3700000,48000,Diesel,0
75,2013,BMW,2900000,59000,Diesel,0
76,2012,Land Rover,1900000,127000,Diesel,0
77,2018,Land Rover,4900000,19500,Diesel,1
78,2018,Land Rover,4800000,29500,Diesel,1
79,2016,Mercedes-Benz,5700000,56500,Diesel,0
80,2015,Renault,565000,85400,Diesel,0
81,2013,Honda,418000,98602,Petrol,0
82,2016,Mercedes-Benz,2150000,28000,Petrol,0
83,2021,Hyundai,2095000,7500,Diesel,1
84,2016,Jaguar,3750000,33000,Diesel,0
85,2021,Hyundai,2050000,4500,Petrol,1
86,2015,BMW,1825000,65000,Diesel,0
87,2008,Audi,850000,84500,Diesel,0
88,2011,Mercedes-Benz,1650000,55000,Diesel,0
89,2012,Audi,1350000,99000,Diesel,0
90,2012,Audi,2750000,25000,Diesel,0
91,2011,BMW,1650000,65000,Petrol,0
92,2012,Mercedes-Benz,1950000,71000,Diesel,0
93,2013,Mercedes-Benz,1050000,67000,Petrol,0
94,2007,BMW,425000,48000,Diesel,0
95,2016,Mercedes-Benz,5700000,56500,Diesel,0
96,2012,Land Rover,1900000,127000,Diesel,0
97,2018,Land Rover,4900000,19500,Diesel,1
98,2018,Land Rover,4800000,29500,Diesel,1
99,2010,Mercedes-Benz,1050000,55000,Petrol,0
100,2015,Mercedes-Benz,1375000,61000,Diesel,0
101,2019,BMW,3499000,26000,Diesel,1
102,2019,BMW,4975000,25000,Diesel,1
103,2010,Toyota,375000,46000,Petrol,0
104,2010,Audi,999000,59000,Petrol,0
105,2015,Land Rover,2600000,77000,Diesel,0
106,2017,Toyota,1575000,60000,Diesel,0
107,2014,Toyota,950000,91000,Diesel,0
108,2015,MINI,2500000,14000,Diesel,0
109,2017,Nissan,690000,21000,Petrol,1
110,2017,Ford,2975000,12000,Diesel,1
111,2008,BMW,450000,70000,Petrol,0
112,2016,Hyundai,1090000,39000,Petrol,0
113,2012,BMW,1675000,59000,Diesel,0
114,2014,Honda,1200000,108200,Petrol,0
115,2014,Land Rover,1950000,61000,Diesel,0
116,2015,Maruti Suzuki,575000,52000,Petrol,0
117,2010,Chevrolet,115000,82000,Petrol,0
118,2017,Toyota,1760000,56089,Diesel,0
119,2014,Audi,1650000,45095,Diesel,0
120,2017,Mahindra,575000,12321,Diesel,1
121,2017,Mahindra,1325000,67894,Diesel,0
122,2014,Renault,625000,44835,Diesel,0
123,2013,Toyota,1451000,118363,Diesel,0
124,2015,Hyundai,525000,98877,Petrol,0
125,2019,Datsun,310000,41298,Petrol,0
126,2016,Maruti Suzuki,675000,57209,Diesel,0
127,2017,Honda,610000,49390,Petrol,0
128,2013,Nissan,345000,30477,Petrol,0
129,2012,Volkswagen,325000,49000,Petrol,0
130,2016,Tata,465000,19000,Petrol,0
131,2020,Tata,815000,7500,Petrol,1
132,2018,Mahindra,775000,54989,Diesel,0
133,2017,Maruti Suzuki,891000,22388,Diesel,1
134,2015,Honda,660000,46475,Petrol,0
135,2014,Toyota,350000,31913,Petrol,0
136,2015,Hyundai,470000,55474,Petrol,0
137,2014,Ford,335000,68051,Diesel,0
138,2011,Honda,345000,44000,Petrol,0
139,2011,Honda,345000,36500,Petrol,0
140,2018,MINI,3445000,3900,Diesel,1
141,2012,Skoda,335000,37000,Petrol,0
142,2018,Hyundai,790000,42000,Diesel,0
143,2019,Jeep,1450000,39500,Diesel,0
144,2017,Hyundai,595000,32000,Petrol,0
145,2012,Maruti Suzuki,315000,56452,Petrol,0
146,2015,Mercedes-Benz,2500000,22341,Diesel,0
147,2018,Mahindra,655000,85000,Diesel,0
148,2018,Mahindra,675000,58000,Diesel,0
149,2014,Mercedes-Benz,1750000,21212,Diesel,0
150,2012,Maruti Suzuki,315000,68890,Petrol,0
151,2016,Porsche,7800000,31000,Diesel,0
152,2012,Honda,489000,49000,Petrol,0
153,2007,Mercedes-Benz,375000,115140,Petrol,0
154,2013,Audi,1600000,74000,Diesel,0
155,2014,Audi,2800000,54500,Diesel,0
156,2015,BMW,2350000,77000,Diesel,0
157,2013,Audi,1450000,63700,Diesel,0
158,2013,Audi,1650000,64000,Diesel,0
159,2018,Audi,2800000,43000,Diesel,0
160,2020,Land Rover,5900000,9000,Diesel,1
161,2016,Volvo,1750000,78000,Diesel,0
162,2011,Chevrolet,171000,31000,Petrol,0
163,2011,Skoda,390000,54000,Petrol,0
164,2009,Toyota,525000,65000,Diesel,0
165,2015,Toyota,1050000,18000,Diesel,0
166,2015,Mahindra,890000,53000,Diesel,0
167,2015,Honda,1325000,42000,Petrol,0
168,2020,Hyundai,1990000,7800,Diesel,1
169,2017,Hyundai,550000,20000,Petrol,1
170,2018,Maruti Suzuki,785000,27000,Diesel,1
171,2013,Audi,2050000,43000,Diesel,0
172,2015,BMW,2350000,37000,Diesel,0
173,2018,Mahindra,1445000,34000,Diesel,0
174,2017,Hyundai,995000,38000,Petrol,0
175,2017,Mercedes-Benz,4300000,17000,Petrol,1
176,2018,Mahindra,1445000,34000,Diesel,0
177,2017,Hyundai,995000,38000,Petrol,0
178,2009,Toyota,525000,65000,Diesel,0
179,2011,Chevrolet,171000,31000,Petrol,0
180,2017,Hyundai,550000,20000,Petrol,1
181,2020,Hyundai,1990000,7800,Diesel,1
182,2020,Hyundai,2025000,9000,Petrol,1
183,2014,Mercedes-Benz,4700000,49000,Diesel,0
184,2019,Hyundai,1550000,10500,Petrol,1
185,2018,Honda,640000,33000,Petrol,0
186,2013,Maruti Suzuki,399000,47284,Petrol,0
187,2015,Volkswagen,521000,62618,Petrol,0
188,2020,Mercedes-Benz,4750000,4200,Diesel,1
189,2017,Hyundai,675000,31414,Petrol,0
190,2016,Hyundai,650000,24694,Petrol,0
191,2013,Hyundai,325000,29708,Petrol,0
192,2012,Toyota,375000,40200,Petrol,0
193,2015,Toyota,1030000,156334,Diesel,0
194,2013,Maruti Suzuki,365000,32000,Petrol,0
195,2021,Maruti Suzuki,900000,350,Petrol,1
196,2015,Tata,495000,61649,Diesel,0
197,2016,Honda,855000,28367,Petrol,0
198,2019,Maruti Suzuki,985000,33997,Diesel,0
199,2011,Honda,465000,47209,Petrol,0
200,2013,Hyundai,675000,62812,Diesel,0
201,2014,Maruti Suzuki,645000,52204,Petrol,0
202,2011,Honda,295000,39295,Petrol,0
203,2017,Hyundai,521000,54803,Petrol,0
204,2014,Toyota,975000,150116,Diesel,0
205,2016,Maruti Suzuki,621000,48968,Petrol,0
206,2017,Maruti Suzuki,895000,43494,Diesel,0
207,2017,Nissan,635000,41584,Petrol,0
208,2016,Hyundai,1145000,56839,Diesel,0
209,2012,Hyundai,315000,34600,Petrol,0
210,2014,Renault,545000,77082,Diesel,0
211,2016,Maruti Suzuki,615000,52000,Diesel,0
212,2014,Audi,1455000,65000,Diesel,0
213,2012,Hyundai,349000,84000,Diesel,0
214,2017,Maruti Suzuki,775000,39535,Diesel,0
215,2015,Toyota,499000,39792,Petrol,0
216,2016,Toyota,1095000,31552,Petrol,0
217,2015,Hyundai,725000,37399,Petrol,0
218,2012,Toyota,765000,158359,Diesel,0
219,2016,Maruti Suzuki,699000,22272,Petrol,0
220,2017,Mahindra,1545000,39700,Diesel,0
221,2017,Hyundai,1195000,30958,Petrol,0
222,2018,Honda,895000,32202,Diesel,0
223,2018,Land Rover,4190000,65000,Diesel,0
224,2018,Mercedes-Benz,3000000,10000,Diesel,1
225,2020,Volkswagen,1025000,2608,Petrol,1
226,2021,Skoda,3495000,7500,Petrol,1
227,2018,Mercedes-Benz,2795000,34000,Diesel,0
228,2016,Mahindra,1325000,41000,Diesel,0
229,2007,Honda,290000,195000,Petrol,0
230,2017,Hyundai,1100000,43100,Petrol,0
231,2018,Mercedes-Benz,2650000,17300,Petrol,1
232,2012,Honda,450000,61700,Petrol,0
233,2016,Maruti Suzuki,650000,68003,Diesel,0
234,2016,Mercedes-Benz,2200000,85000,Diesel,0
235,2009,Hyundai,197000,98000,Diesel,0
236,2014,BMW,1275000,45000,Diesel,0
237,2015,Volkswagen,615000,33000,Petrol,0
238,2018,Honda,1045000,4000,Petrol,1
240,2018,Honda,1051000,47000,Petrol,0
241,2018,Maruti Suzuki,975000,19000,Diesel,1
242,2015,Hyundai,695000,30000,Diesel,0
243,2012,Mahindra,567000,88000,Diesel,0
244,2018,BMW,5675000,21000,Diesel,1
245,2018,Land Rover,4500000,40000,Diesel,0
246,2010,Maruti Suzuki,145000,78500,Petrol,0
247,2019,Tata,475000,11733,Petrol,1
248,2013,Hyundai,450000,41931,Petrol,0
249,2018,Mercedes-Benz,5175000,14880,Diesel,1
250,2014,Honda,300000,41606,Petrol,0
251,2018,Jeep,1650000,16000,Petrol,1
252,2012,Jaguar,2050000,27300,Diesel,0
253,2017,BMW,2700000,18500,Diesel,1
254,2014,Skoda,445000,32000,Petrol,0
255,2013,Maruti Suzuki,215000,56567,Petrol,0
256,2014,Hyundai,365000,51000,Petrol,0
257,2015,Toyota,925000,790000,Diesel,0
258,2009,Hyundai,150000,43000,Petrol,0
259,2009,Honda,260000,83000,Petrol,0
260,2011,Mahindra,465000,720000,Diesel,0
261,2015,MINI,1700000,45000,Petrol,0
262,2017,Mahindra,1200000,28000,Diesel,1
263,2017,Hyundai,975000,55000,Petrol,0
264,2017,Maruti Suzuki,825000,39000,Diesel,0
265,2016,BMW,2500000,20000,Diesel,0
266,2008,Honda,390000,97000,Petrol,0
267,2019,BMW,5500000,18000,Petrol,1
268,2015,Datsun,260000,54000,Petrol,0
269,2012,Volkswagen,590000,88000,Diesel,0
270,2014,BMW,1390000,66000,Diesel,0
271,2010,Honda,265000,57000,Petrol,0
272,2007,Maruti Suzuki,62500,75000,Petrol,0
273,2018,Mercedes-Benz,3500000,13000,Diesel,1
274,2017,Mahindra,1175000,59700,Diesel,0
275,2015,Volkswagen,565000,57000,Petrol,0
276,2014,Hyundai,385000,34000,Petrol,0
277,2014,Honda,450000,68000,Petrol,0
278,2020,Hyundai,1875000,8000,Petrol,1
279,2018,Mahindra,545000,32000,Diesel,0
280,2012,Volkswagen,615000,59000,Diesel,0
281,2012,Tata,65000,18000,Petrol,0
282,2017,Mahindra,1050000,68000,Diesel,0
283,2016,Maruti Suzuki,599000,53357,Diesel,0
284,2016,Hyundai,425000,64000,Diesel,0
285,2017,Toyota,2990000,38000,Diesel,0
286,2012,Mercedes-Benz,1260000,54000,Petrol,0
287,2016,Skoda,1650000,51000,Petrol,0
288,2018,Honda,1025000,31000,Petrol,0
289,2012,Honda,299000,85000,Petrol,0
290,2021,Tata,2190000,5500,Diesel,1
291,2015,Ford,495000,69000,Petrol,0
292,2018,Honda,890000,17000,Petrol,1
293,2013,Maruti Suzuki,350000,72000,Diesel,0
294,2017,Maruti Suzuki,525000,60000,Petrol,0
295,2019,Honda,1200000,30500,Petrol,0
296,2020,Renault,445000,11000,Petrol,1
297,2017,Mercedes-Benz,2700000,41000,Diesel,0
298,2017,Ford,575000,60956,Petrol,0
299,2018,Hyundai,655000,30834,Petrol,0
300,2017,Honda,575000,28000,Petrol,1
301,2018,Maruti Suzuki,790000,39000,Diesel,0
302,2014,Maruti Suzuki,345000,65000,Petrol,0
303,2015,Hyundai,835000,69000,Diesel,0
304,2015,BMW,3700000,66000,Diesel,0
305,2015,BMW,3700000,48000,Diesel,0
306,2013,BMW,2900000,59000,Diesel,0
307,2018,BMW,2500000,33500,Diesel,0
308,2016,BMW,4850000,26700,Petrol,0
309,2017,Jaguar,3700000,45700,Diesel,0
310,2018,Jaguar,3500000,23500,Diesel,1
311,2012,Lamborghini,12500000,14500,Petrol,0
312,2020,MINI,3850000,6517,Petrol,1
313,2014,Mercedes-Benz,2700000,22000,Petrol,0
314,2017,Mercedes-Benz,2900000,44000,Diesel,0
315,2018,Audi,3750000,22000,Diesel,1
316,2013,Audi,1675000,50000,Diesel,0
317,2020,MG,1950000,4500,Petrol,1
318,2018,Maruti Suzuki,769000,47201,Diesel,0
319,2017,Maruti Suzuki,825000,18500,Diesel,1
320,2017,Renault,345000,17453,Petrol,1
321,2015,Audi,1650000,67000,Diesel,0
322,2019,Hyundai,975000,18854,Petrol,1
323,2017,Tata,395000,32445,Petrol,0
324,2012,Maruti Suzuki,245000,66000,Diesel,0
325,2020,Hyundai,1690000,14320,Petrol,1
326,2017,Maruti Suzuki,825000,18500,Diesel,1
327,2020,Maruti Suzuki,860000,12240,Petrol,1
329,2015,Audi,1650000,67000,Diesel,0
330,2014,Renault,445000,71000,Diesel,0
331,2017,Renault,345000,17453,Petrol,1
332,2020,Maruti Suzuki,565000,7823,Petrol,1
333,2020,Maruti Suzuki,1085000,8000,Diesel,1
334,2014,Honda,300000,41606,Petrol,0
335,2013,Audi,1675000,50000,Diesel,0
336,2019,Hyundai,975000,18854,Petrol,1
337,2012,Maruti Suzuki,245000,66000,Diesel,0
338,2020,Hyundai,1690000,14320,Petrol,1
339,2014,Hyundai,365000,40000,Petrol,0
340,2015,Audi,1975000,75000,Diesel,0
341,2019,Hyundai,1475000,10000,Petrol,1
342,2017,Audi,5900000,31000,Diesel,0
343,2019,Audi,3100000,14000,Diesel,1
344,2018,BMW,2750000,21000,Diesel,1
345,2017,Ford,7200000,17000,Petrol,1
346,2015,Mercedes-Benz,3750000,32000,Petrol,0
347,2018,BMW,6950000,31000,Diesel,0
348,2019,Jaguar,3300000,27000,Diesel,1
349,2019,BMW,5500000,9800,Diesel,1
350,2018,BMW,6950000,31000,Diesel,0
351,2019,Jaguar,3300000,27000,Diesel,1
352,2019,BMW,5500000,9800,Diesel,1
353,2012,Skoda,380000,30000,Petrol,0
354,2016,Mercedes-Benz,6800000,30000,Petrol,0
355,2020,BMW,11500000,12000,Diesel,1
356,2019,Volkswagen,1050000,38000,Petrol,0
357,2018,Porsche,8600000,4000,Petrol,1
358,2018,Toyota,2050000,80000,Diesel,0
359,2012,Audi,1625000,14500,Diesel,0
360,2015,Land Rover,2850000,41000,Diesel,0
361,2016,Mercedes-Benz,1851000,43000,Petrol,0
362,2018,BMW,3750000,18000,Petrol,1
363,2012,Tata,425000,2700,Diesel,0
364,2019,Mercedes-Benz,2800000,23000,Diesel,1
365,2019,Jaguar,5100000,13000,Diesel,1
366,2020,BMW,12100000,12000,Petrol,1
367,2020,Jeep,2400000,17000,Diesel,1
368,2019,Ford,3000000,40000,Diesel,0
369,2018,BMW,2900000,32000,Diesel,0
370,2015,Audi,1975000,75000,Diesel,0
371,2019,Hyundai,1475000,10000,Petrol,1
372,2018,Honda,695000,32000,Petrol,0
373,2014,Audi,1465000,75000,Diesel,0
374,2017,Mahindra,1275000,70000,Diesel,0
375,2012,Mercedes-Benz,1260000,54000,Petrol,0
376,2018,Land Rover,14700000,25000,Diesel,1
377,2018,Toyota,14500000,90000,Diesel,0
378,2020,Mercedes-Benz,5800000,12000,Diesel,1
379,2019,Ford,7100000,7000,Petrol,1
380,2019,Lexus,5200000,30000,Petrol,1
381,2019,Audi,7300000,9000,Diesel,1
382,2021,Mahindra,1811000,490,Petrol,1
383,2017,Lexus,3790000,16000,Petrol,1
384,2015,Audi,2150000,14000,Diesel,0
385,2008,BMW,485000,64000,Petrol,0
386,2020,Mercedes-Benz,8400000,14800,Diesel,1
387,2014,Maruti Suzuki,550000,98500,Diesel,0
388,2018,Mercedes-Benz,2850000,55000,Diesel,0
389,2019,Maruti Suzuki,875000,15500,Diesel,1
390,2014,Hyundai,550000,115000,Diesel,0
391,2013,Audi,1600000,74000,Diesel,0
392,2014,Audi,2800000,54500,Diesel,0
393,2015,BMW,2350000,77000,Diesel,0
394,2013,Audi,1450000,63700,Diesel,0
395,2013,Audi,1650000,64000,Diesel,0
396,2018,Audi,2800000,43000,Diesel,0
397,2019,Toyota,2675000,85000,Diesel,0
398,2019,Ford,950000,6372,Petrol,1
399,2011,Toyota,365000,35000,Petrol,0
400,2019,Volkswagen,495000,38000,Petrol,0
401,2015,Maruti Suzuki,449000,67800,Petrol,0
402,2017,Maruti Suzuki,745000,67000,Diesel,0
403,2017,Toyota,1571000,73009,Petrol,0
404,2017,BMW,2575000,60000,Diesel,0
405,2019,Land Rover,12300000,17000,Diesel,1
406,2018,Toyota,3075000,25000,Petrol,1
407,2018,BMW,3950000,55000,Diesel,0
408,2016,Honda,800000,38000,Petrol,0
409,2019,Audi,2550000,15000,Petrol,1
410,2012,Audi,1650000,65000,Diesel,0
411,2015,Maruti Suzuki,465000,58000,Petrol,0
412,2019,Toyota,2325000,38000,Diesel,0
413,2019,Tata,1625000,12000,Diesel,1
414,2018,Maruti Suzuki,895000,27000,Petrol,1
415,2017,Mercedes-Benz,4300000,17000,Petrol,1
416,2016,Volvo,1750000,78000,Diesel,0
417,2018,Mercedes-Benz,4700000,38200,Diesel,0
418,2020,Land Rover,5900000,9000,Diesel,1
419,2018,Mercedes-Benz,4500000,43000,Diesel,0
420,2019,Mercedes-Benz,11000000,7111,Diesel,1
421,2015,Mercedes-Benz,2050000,18000,Petrol,0
422,2018,Mercedes-Benz,4500000,43000,Diesel,0
423,2018,Mercedes-Benz,4700000,38200,Diesel,0
424,2014,Mercedes-Benz,1275000,56000,Diesel,0
425,2017,Mercedes-Benz,2575000,22500,Diesel,1
426,2010,Mitsubishi,550000,75000,Petrol,0
427,2018,BMW,4200000,24000,Diesel,1
428,2014,Audi,2390000,57000,Diesel,0
429,2020,Mercedes-Benz,5700000,9000,Diesel,1
430,2019,Toyota,2175000,15800,Petrol,1
431,2019,Honda,1145000,21963,Petrol,1
432,2013,Hyundai,370000,49350,Petrol,0
433,2019,Mahindra,1675000,53500,Diesel,0
